SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
E1_3_13,5.34901738,56.241,2.3295,438.0445,12578.5,9338.0,29722.5,10.966,1698.5,83.842,62.2155,922.5,40873.5,16.9675,42.4795,29.5515,123.342,17.358,5.61,19.4895,64.7225,80.5975,17.8585,9.277,4.6305,1.216,0.2475,3.031,0.8775,7.6775,237.953,36.121,75.529,8.4545,32.018,6.2215,1.1515,5.268,0.6725,3.599,0.6275,1.713,1.4195,0.202,21.4065,11.0375,83.16,7.84,247.54,8.0,154.9,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_14,0.71922247,52.531,2.8895,422.294,12878.5,9090.0,34296.0,10.6325,1471.5,81.3685,60.479,914.5,39822.0,14.7415,38.816,25.9165,91.627,15.663,5.0045,19.6225,68.001,92.69,17.154,12.457,4.2665,0.8645,0.1825,2.6755,0.8585,7.8355,247.9825,35.5955,75.3325,8.2965,31.439,6.137,1.1755,5.2295,0.8465,3.691,0.8455,1.8775,1.5285,0.573,21.9095,12.6505,80.08,18.3,282.0,7.93,202.7,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_15,1.16800526,64.6745,2.816,653.5635,12850.0,12147.0,28081.0,14.246,1662.0,108.521,76.9125,910.0,40338.5,17.9885,45.488,29.7905,115.5145,20.927,6.377,20.904,85.7905,92.142,19.3555,18.281,4.49,1.0465,0.26,3.4235,0.983,8.6075,293.2475,38.3755,80.458,8.7505,32.7695,6.366,1.1745,5.3345,0.6815,3.6375,0.6365,1.7475,1.433,0.4405,19.83,11.9555,87.78,14.84,261.5,8.16,160.9,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E1_3_6d,4.31359254,49.9785,2.375,369.042,11045.5,6712.0,25611.5,9.2195,1257.0,72.4645,53.6755,797.0,34799.5,14.2985,37.238,24.9215,91.5685,14.725,4.9595,18.6165,56.3395,73.61,16.382,10.3755,4.4005,0.7435,0.205,2.415,1.05,6.956,215.953,35.23,74.8265,8.256,31.266,6.127,1.157,5.2065,0.8325,3.61,0.8295,1.822,1.477,0.5405,21.305,12.207,101.64,13.76,244.17,8.12,168.2,,,,,,Clay,107.303211,34.507115,793,Flat,0.409892023,4333.299805,2907.399902,755.0,0.468647003,-1.5,24.20000076,40.08000183,-20.45000076
E2_1_1,7.38994552,44.614,1.9445,277.4825,9785.0,6085.5,27609.0,8.6385,751.0,66.304,48.827,838.5,32380.5,13.941,34.7785,24.2975,75.2965,14.4725,4.8105,19.061,53.2135,66.994,15.883,12.0145,4.014,0.96,0.2015,3.053,0.6695,6.9225,219.6425,34.99,72.9025,8.156,31.1075,6.044,1.098,5.1215,0.651,3.4485,0.603,1.6045,1.3455,0.2835,21.12,12.528,43.89,7.54,251.57,8.33,130.4,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_2,4.26503166,60.056,2.568,446.418,12687.0,8780.0,44577.0,11.616,1006.5,87.893,63.5375,970.0,39051.0,16.6485,41.6375,27.5625,92.655,17.721,5.8265,21.554,67.2795,84.0635,17.8505,15.341,4.349,1.092,0.2325,3.4725,0.5575,7.9385,254.6435,36.146,75.6035,8.543,32.1935,6.2975,1.172,5.33,0.6865,3.6355,0.64,1.7245,1.434,0.3415,21.9995,12.903,32.34,6.26,238.06,8.24,138.5,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_3,4.76498164,43.741,1.825,302.6565,9654.5,6615.0,30731.0,8.7915,720.0,67.64,50.0305,831.0,31283.0,13.647,34.6705,23.5015,78.148,14.5215,4.6835,18.68,55.473,72.794,15.689,11.4895,3.979,1.087,0.2245,3.014,0.8165,7.0885,228.646,33.8495,68.7595,7.815,30.008,5.8155,1.084,4.9675,0.6425,3.4145,0.6025,1.622,1.3515,0.256,21.6685,12.3005,66.22,13.56,283.59,8.21,134.6,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_4,4.1639593,47.2555,2.185,304.5455,10160.0,6365.5,34479.5,9.3815,714.5,71.0465,51.6065,853.0,33181.5,14.7205,37.615,25.463,81.448,15.1785,5.193,19.9285,55.4385,75.7655,16.7505,11.598,4.1205,1.054,0.2415,3.1875,0.747,7.319,229.6535,36.21,75.4375,8.5445,32.444,6.297,1.149,5.356,0.688,3.657,0.638,1.708,1.432,0.263,23.503,13.604,64.68,11.59,247.78,8.28,147.4,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_5,1.11159356,43.7735,1.914,302.997,9516.5,6270.0,34484.5,8.554,671.5,65.152,47.9655,775.0,29541.0,13.353,34.549,23.6415,78.5105,13.95,4.6,18.479,52.996,78.6525,15.867,10.812,4.005,1.0255,0.244,3.033,0.7845,6.866,222.3185,33.399,67.876,7.7105,29.2835,5.7435,1.054,4.8885,0.6305,3.3655,0.599,1.5975,1.3275,0.2395,22.367,11.989,66.22,12.97,282.22,8.34,122.2,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_7,1.32375669,44.026,1.868,313.405,11110.0,7034.0,45581.5,9.1045,766.5,68.984,50.3705,866.5,32756.5,13.857,35.6905,24.719,80.671,14.3635,4.7165,19.1855,55.353,89.3895,16.0905,10.8675,4.1655,1.112,0.268,3.691,0.5515,7.149,231.9055,34.6265,71.386,8.08,30.57,5.9585,1.097,5.0745,0.648,3.4675,0.6155,1.6315,1.3685,0.2215,22.705,12.7725,58.52,9.51,319.54,8.4,141.4,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_8,0.51369813,45.4335,2.0335,307.4065,10854.0,7041.5,43457.0,8.9555,751.5,70.0525,51.806,861.0,32719.5,14.3635,36.951,25.015,83.9295,14.701,4.978,20.263,56.0345,88.6545,16.1845,10.22,4.1235,1.0475,0.234,3.1145,0.9325,7.361,237.602,36.2665,74.55,8.476,31.94,6.269,1.1595,5.288,0.68,3.602,0.631,1.685,1.401,0.202,22.257,13.09,63.14,9.91,389.11,8.12,143.3,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_9,4.71523518,45.353,2.3515,315.232,11092.5,6701.5,40253.5,9.0575,820.5,72.9905,53.7115,798.5,33922.5,14.2665,37.66,25.7405,104.22,14.9485,4.5125,21.0235,58.055,89.337,15.38,4.36,2.5075,0.7315,0.1195,2.749,1.359,7.152,236.3795,33.8945,72.206,7.9865,30.0775,5.85,1.1395,4.899,0.7955,3.415,0.7935,1.729,1.393,0.3955,20.8515,11.65,36.96,5.67,233.75,8.46,114.0,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_10,4.20438344,44.424,2.3975,280.1735,11178.5,5897.0,40925.5,8.6135,815.5,68.793,51.828,821.0,34314.0,14.15,37.268,24.997,94.016,13.9705,4.418,19.896,52.5295,85.9225,15.0875,4.422,2.7385,0.89,0.108,2.5945,1.3045,6.774,221.806,32.7775,70.032,7.7005,29.21,5.7385,1.0885,4.8255,0.7855,3.36,0.7805,1.6675,1.3525,0.4015,20.6425,11.1965,35.42,3.2,229.37,8.38,120.1,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_11,0.59229868,43.781,2.2235,258.7795,10977.0,6278.0,40124.0,8.0935,752.0,65.451,49.0875,815.5,34027.0,14.362,37.5485,26.0845,94.436,13.049,4.393,19.8595,47.0465,78.086,14.643,4.6335,3.079,0.9195,0.145,2.4565,1.3285,6.143,207.345,31.448,67.226,7.388,27.9775,5.4925,1.0555,4.6955,0.766,3.244,0.764,1.621,1.307,0.421,21.691,10.3065,72.38,15.34,1111.74,7.97,181.1,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_12,1.65755708,42.5555,2.5815,273.0085,10935.5,5789.5,38720.0,7.681,738.5,64.7055,48.652,826.5,33886.5,14.1795,36.5355,26.019,102.135,13.2355,4.3525,20.1645,48.327,78.3695,14.907,3.871,2.8365,0.871,0.1635,2.552,1.3325,6.2625,213.5155,33.056,69.8935,7.6485,29.0925,5.673,1.079,4.8165,0.7815,3.3095,0.7745,1.658,1.3305,0.412,22.6935,10.8355,67.76,21.75,307.19,8.24,156.8,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_13,1.29837407,51.423,2.3585,380.7655,12729.0,7880.5,51144.0,9.985,903.5,76.3935,55.964,940.5,36801.5,15.1785,38.704,27.5895,94.009,15.563,5.273,20.2145,55.8735,90.84,16.777,12.1085,4.5285,1.14,0.272,3.2085,0.58,6.9945,228.368,34.0285,69.975,8.003,30.311,5.8855,1.0875,5.0395,0.646,3.449,0.607,1.635,1.3535,0.26,22.272,11.682,89.32,20.17,352.32,8.15,150.7,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_14,1.60175865,43.9665,2.2465,296.879,10646.0,6107.5,38651.0,8.456,772.0,67.1085,51.153,795.0,32726.5,14.2965,36.8835,26.89,101.859,13.4055,4.533,19.742,49.142,81.6175,15.182,5.711,3.381,1.002,0.1845,2.7,1.276,6.3185,210.5085,31.764,67.7165,7.4975,28.4785,5.5675,1.069,4.7715,0.779,3.303,0.774,1.671,1.3485,0.4435,23.372,10.756,77.0,11.09,501.12,8.46,150.4,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_1_15,2.59010553,51.1175,2.0055,473.934,11626.5,8393.5,42620.0,10.24,841.0,79.1545,57.5495,904.0,34726.0,14.9305,38.038,27.0705,89.275,16.1965,5.2665,20.1305,66.5195,96.602,17.639,13.659,4.4975,1.1715,0.28,3.562,0.589,8.108,264.188,37.7555,77.4275,8.7995,33.513,6.5175,1.205,5.531,0.709,3.7775,0.665,1.792,1.499,0.3015,24.734,13.9335,73.92,11.88,429.79,8.34,151.0,,,,,,Clay,107.669074,34.456391,684,Flat,0.423134983,4411.700195,2979.699951,762.0,0.458139002,-1.399999976,24.60000038,40.18999863,-20.14999962
E2_2_1,0.81161576,49.927,2.312,385.0495,8445.0,7619.0,4660.0,10.6595,1090.5,82.443,60.778,703.0,31945.5,15.9905,41.0485,18.1265,78.119,19.5925,6.4975,13.03,63.723,44.974,16.2455,20.055,3.212,1.439,0.195,2.732,0.3895,5.8285,307.833,35.019,75.7285,8.165,30.005,5.798,1.038,4.7435,0.595,3.102,0.526,1.4,1.085,0.561,14.291,9.771,36.96,25.01,296.63,8.24,189.4,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_2,1.28070683,44.4985,1.7925,393.7765,12458.0,10144.5,49078.0,9.266,1481.0,73.0615,53.129,877.5,37793.5,12.587,31.9615,22.7125,71.3395,15.1255,3.6585,16.2935,69.434,93.8695,16.279,13.8115,3.857,1.068,0.2545,3.0695,1.207,8.008,285.064,34.098,72.5155,8.0475,30.261,6.094,1.129,5.112,0.6695,3.6575,0.644,1.7765,1.4795,0.382,23.256,12.7765,43.12,23.33,279.35,8.12,206.3,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_3,0.4774581,45.4835,1.7855,439.0315,13411.0,11346.5,47278.0,9.887,1622.0,76.478,55.4665,938.5,41311.5,12.9185,33.3955,22.991,78.088,15.8995,3.859,17.4975,73.973,97.2585,16.4225,13.6195,3.5255,1.0295,0.252,3.2085,1.452,8.136,306.728,35.0555,73.9605,8.1645,30.795,6.1355,1.15,5.14,0.667,3.662,0.6495,1.7725,1.4825,0.4085,23.464,12.6075,61.6,26.39,270.15,7.89,196.2,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_4,1.32292036,47.248,1.9105,421.2285,11445.5,8555.0,44525.0,10.354,1449.5,78.023,57.7615,754.0,34301.5,14.3875,37.295,25.555,94.6195,16.155,4.394,18.4775,64.54,93.7885,17.123,11.9395,3.94,1.373,0.267,3.523,1.1725,7.6335,246.9675,34.1995,70.8355,7.839,30.562,5.996,1.111,5.121,0.647,3.6015,0.6275,1.7215,1.416,0.2615,22.4485,11.7295,30.8,23.04,239.37,8.11,192.8,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_5,2.09092202,32.0135,1.51,247.946,6897.5,6733.0,47374.0,6.6825,1064.5,54.495,39.5235,722.0,25581.5,9.6335,24.202,12.4255,58.1965,13.1145,3.475,8.2275,51.617,61.391,13.209,15.1815,2.7635,0.3885,0.2925,2.45,0.307,4.8565,211.902,35.089,71.549,7.928,29.545,5.558,1.022,4.4945,0.5575,2.9985,0.517,1.391,1.093,0.5115,15.45,11.3495,73.92,37.45,345.26,7.98,226.9,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_6,1.26774612,62.4195,2.687,456.0335,12607.5,13778.0,11901.5,12.781,1562.0,101.267,72.3345,659.0,40828.0,17.121,47.632,20.469,96.944,21.1445,6.8235,10.5765,90.11,73.9495,17.847,27.578,4.068,0.8145,0.355,2.762,0.4555,7.1275,335.1865,34.5105,73.498,8.0575,29.656,5.76,1.137,4.7645,0.608,3.2675,0.5685,1.5235,1.2005,0.7045,17.8655,9.252,60.06,31.23,298.73,7.97,221.7,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_7,2.73258433,49.859,1.7805,480.3905,13582.5,11067.0,60986.0,10.596,1593.0,81.0575,59.366,930.0,40388.5,13.5305,34.741,24.2925,91.1925,16.388,4.032,17.861,74.443,101.83,17.569,14.448,4.0815,1.2065,0.29,3.354,1.507,8.27,307.3285,36.3365,76.7375,8.5215,31.95,6.3795,1.1915,5.392,0.7005,3.8365,0.684,1.8725,1.5635,0.4075,25.0855,13.378,56.98,24.81,233.29,8.09,235.1,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_8,1.23709359,48.1695,1.9205,443.533,9325.0,6768.0,36755.5,10.3785,1178.0,78.0445,55.656,599.0,27462.5,14.4945,35.9975,25.963,106.197,15.7255,4.3605,17.9905,64.114,99.5275,17.5115,13.303,4.283,1.528,0.283,3.646,0.653,7.6135,252.976,34.0145,71.014,7.8165,30.7505,6.0195,1.1135,5.1385,0.6485,3.6215,0.6225,1.746,1.441,0.329,22.8155,11.6805,70.84,23.73,232.05,8.13,220.6,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_9,1.29825364,41.0325,1.5755,386.6315,13094.0,9577.0,62359.0,8.8875,1498.5,68.3015,49.611,898.5,38975.5,11.9145,30.2965,20.8025,65.7875,14.098,3.409,15.7175,63.648,97.6135,15.3035,12.18,3.4105,0.9775,0.222,2.94,1.25,7.481,265.426,32.5975,69.144,7.675,28.8615,5.748,1.0705,4.822,0.63,3.411,0.601,1.646,1.363,0.3495,19.7795,11.7975,27.72,30.64,185.03,8.21,184.5,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_10,1.05268791,42.3265,1.7265,405.4905,12252.5,9722.0,58502.0,8.941,1454.0,70.4065,51.212,848.0,36504.5,11.9795,30.9275,21.0635,67.2165,14.4895,3.607,15.293,65.1715,99.1075,15.4985,14.0395,3.5675,1.011,0.227,3.172,1.146,7.4315,270.474,32.887,69.521,7.732,29.1325,5.85,1.0825,4.93,0.6345,3.458,0.6065,1.6785,1.399,0.416,20.4805,12.104,23.1,17.9,210.78,8.18,176.1,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_11,1.09382854,42.734,2.0535,369.4215,8322.5,5931.0,35793.5,9.56,1023.5,73.0855,52.6515,541.0,24692.5,13.932,36.271,25.131,92.649,15.2,4.298,17.9425,59.19,103.9735,17.157,9.7275,4.1435,1.3445,0.2705,3.4805,1.1635,7.4175,238.487,33.7705,70.5805,7.841,30.828,6.101,1.131,5.114,0.6465,3.6,0.625,1.738,1.4285,0.261,21.473,11.787,40.04,24.91,222.99,8.24,204.2,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_12,1.3743497,50.329,2.0455,507.1895,13630.0,11739.0,56009.0,10.7765,1696.5,81.473,59.487,978.0,41058.5,13.409,34.259,23.2935,75.552,16.528,4.2105,16.783,77.3855,105.165,17.8215,18.1665,4.2585,1.084,0.256,3.3205,0.6305,8.3835,313.9485,36.7055,77.5935,8.584,32.108,6.4265,1.196,5.395,0.7075,3.906,0.686,1.9045,1.575,0.597,23.157,13.3895,49.28,24.62,244.39,8.12,188.1,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_13,0.60128121,43.983,1.9215,374.303,12807.0,8909.0,53219.5,8.703,1488.5,67.824,51.117,886.5,38407.0,12.302,31.8965,22.321,71.993,14.028,3.578,15.8645,61.154,93.176,15.475,11.3485,3.969,1.044,0.2365,2.964,1.1205,7.3575,253.1355,32.1045,68.019,7.587,28.667,5.7655,1.079,4.9335,0.64,3.494,0.617,1.6805,1.401,0.2765,21.36,12.006,56.98,20.37,238.87,8.15,188.9,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_14,2.27542339,45.324,1.758,407.735,12914.5,9678.0,47961.0,9.361,1540.0,72.1555,54.0155,905.5,39164.0,12.5175,32.3675,22.067,70.7765,14.8535,3.818,16.2595,67.25,90.6325,15.981,13.731,3.7275,1.04,0.2465,3.7755,1.3775,7.6805,274.8595,33.9195,72.1055,8.0205,30.269,6.044,1.1125,5.081,0.6535,3.5845,0.632,1.7295,1.4335,0.3805,28.7625,12.876,41.58,17.71,208.75,8.25,176.7,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E2_2_15,0.30751923,45.1575,1.899,433.0215,13117.5,10211.5,52583.0,9.949,1545.5,76.02,54.74,918.0,39613.0,13.055,33.1115,23.2965,82.642,15.7265,3.9335,16.8195,70.6715,100.472,17.0945,14.55,4.1445,1.04,0.283,3.2315,1.189,8.02,293.342,35.9845,76.4375,8.459,31.895,6.3745,1.181,5.393,0.697,3.8125,0.673,1.8425,1.534,0.4135,25.1175,13.2115,41.58,32.51,194.94,8.11,198.1,,,,,,Clay,107.757779,34.465447,741,Flat,0.422533989,4314.700195,2903.199951,752.5999756,0.458617985,-1.799999952,24.29999924,39.70999908,-20.46999931
E3_1_1,4.00362416,37.3415,1.5255,296.716,10316.5,5265.5,63517.5,7.562,681.5,59.2705,44.095,718.5,28586.5,12.179,31.318,20.486,65.8015,12.3255,4.175,17.2,42.8205,113.0875,14.073,11.4755,3.522,0.8965,0.2185,2.6665,0.7345,5.955,189.8585,30.175,62.0265,7.025,26.862,5.261,0.9645,4.463,0.5715,3.039,0.533,1.4325,1.1985,0.273,16.482,11.0645,52.36,15.73,158.68,8.21,193.8,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_2,1.50549623,46.3865,2.048,529.036,11257.0,9080.0,66994.0,10.4625,827.0,82.878,58.3865,762.0,30619.5,13.259,33.74,21.8875,75.55,16.4355,4.9185,19.5545,70.378,136.5295,16.34,17.626,3.6835,0.944,0.2505,3.3405,1.1125,7.5875,280.502,36.313,74.28,8.397,31.601,6.1275,1.121,5.1235,0.666,3.5205,0.622,1.663,1.4025,0.5475,18.4945,13.315,64.68,15.34,232.65,8.17,183.9,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_3,5.7519008,48.478,2.1455,395.7605,12030.0,6979.0,72161.0,9.8795,805.0,76.9615,55.5985,860.0,34368.5,14.7415,37.659,24.909,81.186,15.0845,4.895,20.4425,55.353,137.937,16.7555,12.9065,4.4125,1.1375,0.254,2.99,0.65,7.17,233.929,34.366,70.463,8.0475,30.4385,5.9925,1.107,5.0775,0.6515,3.4935,0.6185,1.644,1.3695,0.2715,19.609,12.0375,63.14,21.36,311.48,8.04,196.4,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_4,1.38968652,52.267,2.165,477.73,12701.5,8053.0,72138.5,11.0145,880.5,83.0065,59.992,872.5,34867.5,14.6095,37.139,24.277,80.935,15.7925,5.082,20.0465,62.461,150.073,17.039,16.762,4.276,1.1935,0.264,3.355,0.7775,7.5535,257.8665,35.4035,73.0225,8.211,31.1515,6.0635,1.1235,5.128,0.6585,3.505,0.62,1.675,1.397,0.443,19.414,12.322,55.44,21.36,234.23,8.16,194.2,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_5,0.6920387,47.954,1.897,386.4145,12244.0,5661.5,74093.5,9.4675,729.0,72.994,53.3995,828.5,32653.0,15.2705,38.3855,25.202,87.4945,14.293,4.894,20.455,48.612,151.677,16.5135,13.437,4.282,1.216,0.2515,2.982,0.6345,6.98,227.203,34.557,70.508,8.039,30.609,5.9605,1.0865,5.0475,0.647,3.417,0.6055,1.6155,1.351,0.315,19.5835,12.3805,43.12,12.77,258.85,8.34,173.3,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_6,4.42900562,37.994,1.5165,291.4345,10779.5,5137.5,64290.0,7.34,612.5,58.7255,43.41,746.0,29374.0,12.7855,32.2905,21.8285,74.0125,12.0095,4.177,18.1255,40.9745,124.514,14.251,9.104,3.251,1.002,0.239,2.62,0.993,5.9585,193.499,30.0475,61.23,6.955,26.6285,5.2135,0.962,4.4465,0.5745,3.0295,0.5315,1.41,1.1695,0.195,17.919,10.9985,53.9,17.02,228.58,8.14,191.0,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_7,2.24238862,43.9515,1.7875,375.3955,11722.5,6281.5,74646.0,8.9115,797.0,69.1845,51.082,826.5,32830.0,13.645,34.6365,22.425,73.717,14.121,4.6945,18.7565,49.8115,128.7905,15.6995,12.3715,4.143,1.003,0.235,2.9035,0.617,6.591,212.7125,33.4865,69.4025,7.878,29.956,5.8455,1.0545,4.9345,0.626,3.3375,0.5875,1.572,1.3075,0.2595,18.03,12.0415,75.46,10.3,184.99,8.11,201.7,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_8,4.13709612,48.5505,2.008,484.9105,12233.0,8592.5,75903.5,10.695,872.5,84.0085,59.55,840.5,34068.5,14.3055,36.454,24.1835,77.7085,15.9375,4.988,19.5935,64.07,149.22,16.9935,16.4605,4.043,1.033,0.2505,3.3295,0.719,7.4905,258.2015,34.5525,71.443,8.184,31.043,6.02,1.108,5.094,0.6605,3.5225,0.6235,1.6705,1.407,0.4395,18.649,12.604,41.58,12.87,201.76,8.11,183.7,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_9,1.45303041,41.1415,1.6775,370.364,10551.0,6804.5,68452.5,8.7985,732.0,68.401,49.3615,731.5,29188.0,12.386,32.0775,20.9265,68.6445,13.646,4.4035,17.6635,51.688,126.707,15.237,13.7475,3.663,0.9015,0.215,2.817,0.713,6.533,216.4485,32.4925,66.3055,7.526,28.392,5.531,1.012,4.686,0.604,3.193,0.5665,1.5275,1.2815,0.3625,16.388,11.36,38.5,15.34,430.87,8.06,195.8,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
E3_1_10,3.04831955,42.0995,1.6235,373.1925,10767.5,6448.0,67374.5,8.8225,735.0,69.2055,49.6575,746.0,29641.0,12.73,32.9355,21.403,69.795,13.721,4.409,18.1555,52.656,130.861,15.349,14.5725,3.7645,0.935,0.237,2.9725,0.814,6.7725,226.219,33.4805,67.708,7.695,29.218,5.648,1.0375,4.8025,0.6185,3.313,0.5825,1.5525,1.2995,0.3935,17.646,11.8835,72.38,15.93,302.65,8.07,203.2,,,,,,Clay,108.167565,34.741905,1068,Flat,0.394439995,3820.600098,2508.399902,718.7000122,0.480915993,-3.599999905,22.60000038,37.0,-22.57999992
