SampleN,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,SumTS
C1_1_12,215.985,10.18207954,38.62,6.98,78.5,8.35,2.87,11.22,917.9786,10.57943146,Roam,11.6129034
C1_1_13,203.28,7.399408047,56.1,7.04,79.8,9.6,5.71,15.31,918.6562,17.20417501,Roam,8.44888142
C1_1_14,212.597,5.28878777,33.52,7.04,82.7,9.77,3.2,12.97,746.8846,14.01921613,Roam,5.17560108
C1_1_15,193.116,11.16872756,48.02,7.08,94.9,9.74,3.25,12.99,1523.0754,15.08569296,Roam,9.26339787
C1_2_1,215.985,12.77955272,58.66,7.35,57.7,11.39,2.65,14.04,555.4626,8.645324271,Sandy,10.7044857
C1_2_2,250.712,10.59788042,68.88,7.46,48.3,10.14,2.34,12.48,259.0126,10.43225103,Sandy,6.13841237
C1_2_3,267.652,16.04992424,68.94,7.05,55.9,9.98,2.87,12.85,729.267,9.992453437,Sandy,3.73709508
C1_2_4,189.728,19.64891283,56.68,6.97,53.5,13.89,3.32,17.21,659.3048,7.287894915,Sandy,5.51472793
C1_2_5,265.958,9.795298257,56.78,7.03,54.1,10.21,2.83,13.04,419.4344,8.470173596,Sandy,3.46969329
C1_2_6,186.34,8.6909614,53.38,7.04,112.2,10.89,3.07,13.96,387.7566,8.921219652,Sandy,1.32017311
C1_2_7,214.291,17.88998161,54.98,7.13,55.3,10.34,3.61,13.95,514.129,8.620452845,Sandy,8.9922877
C1_2_8,121.968,11.17987622,59.94,6.97,65.5,15.07,4.98,20.05,364.0406,7.541469773,Sandy,4.31284145
C1_2_9,277.9854,28.22661081,57.52,6.91,57.5,8.72,4.11,12.83,734.5184,9.9500539,Sandy,7.39142619
C1_2_10,137.214,8.675015954,55.62,6.79,53.9,12.26,3.94,16.2,491.0906,12.60559248,Sandy,4.46507626
C1_2_11,222.9304,13.45801101,59.36,6.75,78.3,11.23,2.89,14.12,536.4898,8.845692743,Sandy,5.66848097
C1_2_12,271.04,7.885490697,59.46,6.77,44.7,8.34,4.03,12.37,665.5726,8.903386794,Sandy,3.20702526
C1_2_13,271.2094,17.47483624,55.28,6.92,125.6,15.3,3.78,19.08,577.8234,8.962350995,Sandy,10.3059194
C1_2_14,242.242,17.46506986,44.64,6.71,50.1,9.75,6.43,16.18,499.5606,7.060577424,Sandy,0.56000093
C1_2_15,217.3402,3.191828918,57.18,6.81,48.1,10.44,2.25,12.69,581.2114,8.876562507,Sandy,5.18236306
C1_3_1,243.936,16.3496431,37.7,6.78,39.8,9.9,6.06,15.96,1101.2694,11.35207818,Roam,0.29673571
C1_3_2,271.2094,5.447908911,46.2,6.88,29.1,7.96,2.04,10.0,868.8526,6.214813539,Roam,1.84663183
C1_3_3,301.532,8.174495574,64.82,6.09,39.1,10.64,6.83,17.47,1373.3258,9.018804733,Roam,0.93398731
C1_3_4,271.2094,12.45714741,47.84,6.01,46.2,8.93,4.06,12.99,1029.7826,18.92910924,Roam,0.59626432
C1_3_5,196.504,20.33249611,36.72,5.88,39.2,10.54,6.56,17.1,1082.2966,8.028049867,Roam,0.41726575
C1_3_6,271.2094,9.477632787,47.6,5.7,52.3,10.27,4.95,15.22,973.8806,18.47997216,Roam,0.59047946
C1_3_7,186.5094,16.58341658,61.6,5.72,36.7,12.07,14.66,26.73,1033.1706,15.06727186,Roam,1.71318651
C1_3_8,271.2094,9.893272575,47.0,5.57,49.8,10.16,8.66,18.82,687.5946,17.56417669,Roam,0.50795346
C1_3_9,247.324,9.080386365,42.72,5.57,45.5,11.61,4.99,16.6,978.9626,22.28930055,Roam,6.03187482
C1_3_10,271.04,16.37118671,50.42,5.56,47.5,9.17,7.2,16.37,1027.2416,13.47079554,Roam,0.62284484
C1_3_11,242.242,15.38523018,48.2,5.53,49.2,9.88,8.59,18.47,1343.1726,16.6600621,Roam,1.38036505
C1_3_12,267.652,2.095724722,45.74,5.48,43.2,11.65,4.49,16.14,1118.3788,23.89051346,Roam,2.23891639
C1_3_13,320.166,8.088998961,40.94,5.47,39.3,10.41,4.09,14.5,1097.5426,17.63785651,Roam,2.61995987
C1_3_14,272.9034,14.76574348,67.96,5.56,55.0,11.72,5.74,17.46,1502.4086,19.27045848,Roam,1.51622875
C1_3_15,304.92,13.0822082,40.54,5.5,54.6,9.97,5.87,15.84,1399.0746,20.11437133,Roam,1.5520063
C2_1_1,77.0,23.43,318.32,7.98,148.1,,,,,,Roam,2.38389827
C2_1_2,62.37,18.5,246.53,8.02,127.0,,,,,,Roam,0.68918522
C2_1_3,80.08,17.51,415.36,8.18,116.6,,,,,,Roam,6.1817862
C2_1_4,73.92,26.29,268.58,7.98,140.7,,,,,,Roam,3.38751591
C2_1_5,84.7,31.82,178.47,8.12,129.3,,,,,,Roam,1.44121211
C2_1_6,49.28,12.77,276.68,8.14,123.2,,,,,,Roam,1.8547526
C2_1_7,67.76,15.83,211.97,8.04,126.0,,,,,,Roam,3.44259623
C2_1_8,36.96,19.38,244.88,7.85,142.6,,,,,,Roam,2.03475667
C2_1_9,72.38,13.86,366.18,8.15,128.8,,,,,,Roam,1.94103142
C2_1_10,87.78,20.77,245.68,8.02,138.4,,,,,,Roam,3.57848379
C2_1_11,88.55,27.87,251.26,7.97,122.1,,,,,,Roam,0.85772091
C2_1_12,93.94,18.4,245.19,7.95,139.9,,,,,,Roam,1.60478838
C2_1_13,81.62,21.06,267.61,8.05,153.1,,,,,,Roam,1.32266646
C2_1_14,69.3,18.4,343.14,8.16,160.6,,,,,,Roam,1.60005689
C2_1_15,52.36,21.26,242.0,8.21,112.3,,,,,,Roam,2.44242539
C2_2_1,,21.75,299.56,7.85,168.2,,,,,,Roam,4.94815433
C2_2_2,61.6,17.8,305.43,8.18,135.5,,,,,,Roam,7.99257962
C2_2_3,63.14,14.84,268.86,7.8,154.8,,,,,,Roam,2.41763553
C2_2_4,,9.71,300.6410256,7.66,172.8,,,,,,Roam,2.77650221
C2_2_5,84.7,31.72,333.63,7.73,186.6,,,,,,Roam,6.96729446
C2_2_6,61.6,12.57,320.55,8.12,259.1,,,,,,Roam,3.53108632
C2_2_7,70.84,45.75,342.7604167,7.59,115.3,,,,,,Roam,6.8556172
C2_2_8,,10.3,299.1836735,8.22,134.4,,,,,,Roam,9.29138855
C2_2_10,,17.02,272.23,7.77,166.5,,,,,,Roam,7.95873383
C2_2_11,63.14,22.74,322.75,8.14,184.6,,,,,,Roam,6.35992176
C2_2_12,69.3,15.63,303.58,7.78,133.1,,,,,,Roam,4.15025084
C2_2_14,78.54,18.3,284.44,7.78,173.4,,,,,,Roam,4.00473282
C2_2_15,61.6,20.08,298.47,7.82,165.1,,,,,,Roam,7.41239649
C2_3_1,95.48,15.53,208.66,7.87,167.0,,,,,,Roam,1.85412971
C2_3_2,78.54,16.13,224.55,7.76,185.7,,,,,,Roam,1.62396768
C2_3_3,73.92,11.49,281.46,7.88,168.9,,,,,,Roam,1.96391958
C2_3_4,77.0,13.17,268.05,7.77,167.8,,,,,,Roam,2.18015866
C2_3_5,80.08,7.24,220.52,7.91,159.4,,,,,,Roam,1.94962146
C2_3_6,73.92,13.36,237.63,7.95,155.6,,,,,,Roam,2.63312128
C2_3_7,84.7,10.6,230.76,7.89,180.4,,,,,,Roam,2.06513137
C2_3_8,72.38,9.42,272.74,7.85,180.3,,,,,,Roam,1.6003764
C2_3_9,67.76,24.36,228.52,7.87,158.6,,,,,,Roam,2.31284372
C2_3_10,64.68,11.49,298.66,7.9,160.2,,,,,,Roam,2.57820055
C2_3_11,80.08,8.72,249.58,7.84,204.6,,,,,,Roam,2.89358939
C2_3_12,97.02,13.17,259.95,7.84,175.9,,,,,,Roam,4.70722714
C2_3_13,44.66,13.17,281.06,7.82,165.9,,,,,,Roam,1.98731377
C2_3_14,63.14,17.31,247.83,7.84,171.7,,,,,,Roam,2.47281571
C2_3_15,83.16,9.61,226.37,7.84,159.1,,,,,,Roam,2.02644209
C3_1_1,252.406,12.27740957,157.2,6.42,112.2,6.13,12.82,18.95,1306.074,13.35510535,Roam,0.75690167
C3_1_2,217.8484,4.091326388,69.78,6.66,109.5,7.26,4.6,11.86,989.296,17.77425111,Roam,2.26219127
C3_1_3,186.34,6.485990261,67.8,6.79,93.0,6.46,4.71,11.17,1087.3786,18.12481799,Roam,2.77016987
C3_1_4,219.5424,4.591734877,63.86,7.28,113.9,6.52,4.17,10.69,1154.6304,24.45526484,Roam,3.36959591
C3_1_5,303.226,4.697369473,60.3,7.25,96.8,6.36,3.54,9.9,897.6506,23.2580247,Roam,4.03425261
C3_1_6,267.652,6.380094106,70.6,7.31,113.0,5.7,3.91,9.61,1114.9908,21.33816644,Roam,4.93372907
C3_1_7,252.406,15.57507987,112.56,7.34,111.9,8.31,7.17,15.48,1373.6646,20.0905699,Roam,4.61698535
C3_1_8,267.652,6.090498822,81.84,7.35,103.7,6.6,4.21,10.81,1199.352,27.49123678,Roam,2.31304111
C3_1_9,72.842,7.382871738,98.14,7.44,94.9,8.64,5.3,13.94,1243.2266,19.669179,Roam,1.26271653
C3_1_10,269.346,8.177756502,73.34,7.49,95.4,7.54,4.6,12.14,1137.3516,21.10001634,Roam,2.15336363
C3_1_11,127.05,6.187130768,70.82,7.46,99.9,5.92,3.71,9.63,1024.7006,21.25499205,Roam,5.32812908
C3_1_12,267.652,7.294456213,89.38,7.11,102.4,7.56,5.81,13.37,1144.297,20.13551848,Roam,2.15011473
C3_1_13,279.51,1.694442229,69.1,7.19,109.9,6.94,3.67,10.61,995.9026,18.57291796,Roam,2.8191988
C3_1_14,322.8764,2.194732642,69.72,7.3,100.9,6.98,3.5,10.48,996.2414,19.08401512,Roam,1.70121196
C3_1_15,167.706,4.695304695,76.42,7.38,89.3,6.81,4.34,11.15,906.1206,17.9331492,Roam,2.17286812
C3_2_1,267.652,13.96313732,100.06,7.55,136.8,10.27,6.09,16.36,1056.5478,14.96630417,Roam,1.52207055
C3_2_2,242.242,5.096941835,91.6,7.83,130.5,10.61,7.56,18.17,1292.3526,18.18476679,Roam,1.25912625
C3_2_3,267.652,3.892681758,84.48,7.88,141.5,6.46,4.35,10.81,1168.3518,9.42296214,Roam,8.03108721
C3_2_4,252.406,5.288998882,83.54,7.86,140.0,6.81,3.71,10.52,1024.7006,15.92876189,Roam,2.23672063
C3_2_5,271.2094,1.897722733,94.04,7.85,127.1,4.13,4.74,8.87,1192.576,16.03775819,Roam,2.73053043
C3_2_6,188.034,5.086368532,90.96,7.86,128.1,7.89,4.36,12.25,1095.8486,18.74472576,Roam,7.26687573
C3_2_7,269.346,8.795426378,102.9,7.83,132.8,6.69,4.42,11.11,1285.4072,18.90244196,Roam,5.63871692
C3_2_8,135.52,3.191065018,72.86,7.84,118.1,10.77,5.26,16.03,1023.0066,17.18678938,Roam,1.95857049
C3_2_9,274.5974,6.79076456,113.72,7.83,102.8,7.73,3.64,11.37,1099.5754,15.3729133,Roam,6.05822439
C3_2_10,137.214,4.293302448,93.98,7.82,117.3,8.2,5.5,13.7,967.1046,13.2886917,Roam,7.5636624
C3_2_11,271.2094,22.94310111,102.54,7.9,120.2,7.47,3.42,10.89,990.99,17.39877096,Roam,7.10651794
C3_2_12,242.242,9.887344199,86.36,7.92,139.9,6.62,12.22,18.84,1028.0886,16.62349978,Roam,1.72277832
C3_2_13,219.5424,12.76731567,109.7,7.78,152.0,10.09,7.78,17.87,1307.768,16.53844832,Roam,2.29496137
C3_2_14,208.362,3.49678296,90.68,7.78,119.1,6.76,3.84,10.6,1077.2146,18.08377293,Roam,7.19838632
C3_2_15,217.3402,9.094906852,107.66,7.76,149.3,9.55,11.69,21.24,975.5746,16.11943085,Roam,1.91185046
C3_3_1,214.291,1.096884847,54.12,7.84,175.3,6.83,4.18,11.01,851.9126,17.92419051,Sandy,3.34782893
C3_3_2,189.728,1.597635499,52.66,7.88,176.3,7.75,3.9,11.65,1049.6024,13.45862326,Sandy,5.08807029
C3_3_3,267.652,0.598276962,56.5,7.88,157.4,6.31,3.94,10.25,658.7966,13.39089576,Sandy,1.65727255
C3_3_4,189.728,0.698909701,59.02,7.92,158.8,7.08,4.01,11.09,815.4916,12.72283797,Sandy,11.3495064
C3_3_5,214.291,0.99980004,47.1,7.98,171.4,4.76,4.48,9.24,757.0486,9.310216388,Sandy,9.12385778
C3_3_6,242.242,0.996611521,47.24,8.0,171.2,5.64,6.19,11.83,1102.9634,12.02858488,Sandy,3.33441405
C3_3_7,267.652,2.49670435,65.82,8.02,191.8,6.95,9.43,16.38,1290.6586,16.46154202,Sandy,1.40825369
C3_3_8,252.406,1.196888091,48.28,8.03,166.2,5.53,5.22,10.75,973.8806,19.66177628,Sandy,8.02947917
C3_3_9,271.2094,0.99952023,48.42,8.07,171.1,4.5,6.72,11.22,962.0226,12.53290595,Sandy,3.4909486
C3_3_10,186.34,0.799392462,34.34,8.18,160.4,7.22,6.96,14.18,791.2674,15.69516841,Sandy,11.6099775
C3_3_12,267.652,0.698965531,50.28,8.19,173.7,5.24,9.89,15.13,923.0606,9.117660762,Sandy,8.33619249
C3_3_13,245.63,1.396926761,53.32,8.13,156.3,3.17,5.17,8.34,725.879,11.46175824,Sandy,5.14429551
C3_3_14,267.652,0.797638989,50.7,8.17,159.6,3.93,4.22,8.15,714.6986,9.006590602,Sandy,12.1021853
C3_3_15,242.242,1.694644922,67.96,8.13,171.6,4.61,9.71,14.32,1150.0566,12.44191839,Sandy,6.80823859
D1_1_1,267.652,2.298437063,78.6,8.37,158.1,4.66,5.3,9.96,838.3606,11.02479972,Roam,3.09074293
D1_1_2,50.05,22.35,331.99,8.43,148.9,,,,,,Roam,3.4245826
D1_1_3,53.9,23.43,473.68,8.59,167.0,,,,,,Roam,6.45916733
D1_1_4,56.98,20.67,274.58,8.4,139.6,,,,,,Roam,2.52562148
D1_1_5,49.28,20.96,256.13,8.32,136.2,,,,,,Roam,2.59008023
D1_1_6,40.04,16.32,222.17,8.42,132.9,,,,,,Roam,3.2900164
D1_1_7,18.48,22.15,228.61,8.49,126.3,,,,,,Roam,1.18214422
D1_1_8,121.968,0.698881789,49.22,8.39,157.0,5.7,4.62,10.32,841.5792,14.15172238,Roam,1.52138023
D1_1_9,267.652,1.497783281,56.4,8.37,159.4,4.88,5.09,9.97,860.3826,12.52998958,Roam,2.72126498
D1_1_10,41.58,15.44,266.79,8.31,154.4,,,,,,Roam,4.57951982
D1_1_11,137.214,4.187771707,44.86,8.33,159.5,5.84,5.07,10.91,794.8248,5.122559797,Roam,3.12807097
D1_1_12,60.06,17.21,293.53,8.39,162.6,,,,,,Roam,2.33516884
D1_1_14,265.958,2.989953755,67.58,8.25,178.5,5.9,9.61,15.51,934.9186,11.11022565,Roam,2.15060592
D2_1_1,143.99,8.881880963,113.6,8.21,165.3,5.84,3.93,9.77,906.6288,13.961885,Roam,0.65341443
D2_1_2,271.2094,10.97497705,130.26,8.18,178.6,4.91,7.98,12.89,1033.1706,12.00378003,Roam,0.60383613
D2_1_3,431.97,5.997121382,73.76,8.18,176.3,3.8,3.76,7.56,899.3446,14.03988506,Roam,0.47987713
D2_1_4,269.346,18.44319496,91.58,8.19,171.8,5.13,6.64,11.77,1288.9646,14.7105802,Roam,0.66220949
D2_1_5,147.378,19.15403033,98.0,8.29,168.5,6.02,5.61,11.63,1223.4068,17.55923166,Roam,0.44207692
D2_1_6,267.652,7.389654484,101.32,8.26,160.3,5.11,3.65,8.76,914.5906,17.09467825,Roam,1.80361269
D2_1_7,140.602,8.889687962,91.68,8.29,163.7,4.53,4.54,9.07,830.907,12.27941467,Roam,1.57654778
D2_1_8,322.8764,7.392902813,131.24,8.24,173.0,4.8,5.76,10.56,877.3226,10.84608122,Roam,0.80089519
D2_1_9,188.034,5.883526127,199.98,8.17,160.3,5.62,4.85,10.47,812.9506,13.58667086,Roam,0.65425885
D2_1_10,321.013,15.65054428,123.14,8.19,160.2,5.02,6.07,11.09,1176.9912,12.64751587,Roam,0.85140201
D2_1_11,188.034,5.782882667,88.62,8.16,161.7,5.36,6.24,11.6,782.4586,17.14221907,Roam,1.72878365
D2_1_12,210.903,6.88567779,104.6,8.18,157.0,4.31,4.75,9.06,904.0878,10.70954052,Roam,2.24601036
D2_1_13,188.034,5.586592179,88.78,8.2,157.4,5.94,3.26,9.2,697.7586,13.01529746,Roam,1.67423555
D2_1_14,267.652,6.193558699,92.6,8.22,191.4,4.39,4.51,8.9,811.9342,13.2968607,Roam,2.75630899
D2_1_15,138.908,6.198760248,87.26,8.24,163.1,4.98,3.68,8.66,924.7546,13.49385873,Roam,2.49807364
D2_2_1,221.2364,6.095367521,58.42,8.34,170.9,6.18,3.59,9.77,846.4918,9.652130543,Roam,1.4200936
D2_2_2,186.34,7.583014049,90.38,8.34,204.0,9.47,3.91,13.38,731.6386,9.240613577,Roam,1.5323692
D2_2_3,214.291,5.781960284,91.86,8.28,209.0,6.73,12.42,19.15,817.1856,11.37629745,Roam,1.50317172
D2_2_4,121.968,4.297593348,68.16,8.28,193.8,6.96,5.71,12.67,719.7806,10.58335672,Roam,1.47309498
D2_2_5,214.291,6.681558897,94.92,8.27,173.8,5.32,8.54,13.86,848.1858,11.63702567,Roam,2.45955994
D2_2_6,137.214,4.984249771,71.78,8.25,183.0,6.6,4.71,11.31,831.5846,12.21307004,Roam,2.92013651
D2_2_7,217.8484,5.483549352,79.48,8.25,178.4,5.43,3.81,9.24,949.6564,14.02024802,Roam,1.18911426
D2_2_8,227.843,5.985395635,88.56,8.27,178.7,5.36,4.66,10.02,784.1526,13.71842972,Roam,1.30773091
D2_2_9,269.346,5.889634244,113.48,8.19,203.0,7.23,7.23,14.46,973.8806,11.42288466,Roam,0.88994066
D2_2_10,189.728,3.69261477,99.96,8.17,199.2,5.59,6.63,12.22,907.8146,14.43607853,Roam,2.50306224
D2_2_11,322.8764,6.181702162,94.86,8.22,180.3,6.22,4.73,10.95,1056.5478,12.85547855,Roam,1.56808546
D2_2_12,242.242,5.192315373,72.04,8.23,179.0,4.95,5.43,10.38,853.6066,12.59559489,Roam,3.32594368
D2_2_13,272.734,6.589456869,96.54,8.28,189.6,7.9,4.98,12.88,999.6294,11.54152135,Roam,3.01611147
D2_2_15,217.8484,6.685025543,104.6,8.25,184.6,5.04,6.29,11.33,1004.8808,11.92013056,Roam,1.69486375
D2_3_1,121.968,5.084745763,58.48,8.27,171.2,4.17,3.96,8.13,682.5126,11.67574773,Roam,2.08147617
D2_3_2,116.886,7.179323548,59.98,8.26,181.3,4.73,5.42,10.15,779.24,11.40145492,Roam,1.07558705
D2_3_3,215.985,7.274104189,117.2,8.25,158.8,5.25,4.16,9.41,743.4966,11.53855617,Roam,1.55189725
D2_3_5,186.34,9.38161204,68.36,8.27,166.2,5.27,3.86,9.13,748.2398,9.458471464,Roam,1.32805053
D2_3_6,322.8764,9.19154378,67.9,8.26,177.1,3.95,3.82,7.77,660.4906,9.844297074,Roam,2.54088759
D2_3_7,271.2094,20.78005115,84.12,8.14,182.2,5.34,3.85,9.19,738.4146,9.986222746,Roam,2.06873179
D2_3_8,111.804,6.699732011,66.44,8.4,161.8,4.26,3.05,7.31,741.4638,9.171633134,Roam,3.15215381
D2_3_9,214.291,7.784431138,81.9,8.24,172.6,5.08,3.88,8.96,794.8248,10.44210789,Roam,3.14769871
D2_3_10,137.214,7.383461047,72.42,8.18,175.1,4.72,4.27,8.99,674.0426,11.1438941,Roam,2.69951074
D2_3_11,267.652,7.787539936,65.52,8.28,178.7,4.51,5.55,10.06,789.5734,11.39931392,Roam,2.09414755
D2_3_12,242.242,6.684225228,77.46,8.38,169.8,1.82,3.4,5.22,655.4086,10.97021653,Roam,2.58460343
D2_3_13,137.214,5.883526127,102.26,6.69,178.0,5.82,3.18,9.0,779.24,9.902919592,Roam,3.27699339
D2_3_14,212.597,6.088067388,71.52,6.89,165.5,6.28,3.75,10.03,735.0266,9.351902287,Roam,1.6355821
D2_3_15,204.974,7.290376703,77.24,6.73,163.5,5.79,4.02,9.81,682.8514,10.73172073,Roam,5.45810878
D3_1_1,12.32,8.53,140.55,8.74,128.9,,,,,,Roam,1.43685992
D3_1_2,26.18,5.17,154.65,8.67,122.7,,,,,,Roam,1.62929226
D3_1_3,18.48,8.92,151.43,8.63,115.8,,,,,,Roam,2.91605212
D3_1_4,23.1,3.49,141.54,8.75,104.2,,,,,,Roam,5.30445715
D3_1_5,23.1,6.45,148.56,8.59,153.9,,,,,,Roam,2.585736
D3_1_6,13.86,3.99,166.56,8.7,120.3,,,,,,Roam,1.54121891
D3_1_7,20.02,7.15,164.67,8.64,129.7,,,,,,Roam,1.82880064
D3_1_8,18.48,5.86,152.9,8.65,98.9,,,,,,Roam,2.99636237
D3_1_10,20.02,13.76,132.24,8.64,135.8,,,,,,Roam,2.28637726
D3_1_11,24.64,4.78,123.39,8.67,103.5,,,,,,Roam,1.3300767
D3_1_12,15.4,4.48,144.98,8.67,114.6,,,,,,Roam,1.56524699
D3_1_13,90.86,6.36,178.26,8.63,116.9,,,,,,Roam,1.17542882
D3_1_14,10.78,3.2,152.02,8.71,102.4,,,,,,Roam,2.61787657
D3_1_15,20.02,3.3,176.19,8.63,117.6,,,,,,Roam,2.85551429
D4_1_1,46.2,18.89,307.76,8.31,134.6,,,,,,Roam,2.75678141
D4_1_2,52.36,17.41,339.87,8.29,140.7,,,,,,Roam,1.33712878
D4_1_3,61.6,18.4,330.65,8.29,149.4,,,,,,Roam,0.98381214
D4_1_5,44.66,13.86,298.6,8.18,142.0,,,,,,Roam,0.90687228
D4_1_6,38.5,20.47,304.52,8.19,123.9,,,,,,Roam,1.35801261
D4_1_7,46.2,20.27,316.2,8.22,142.0,,,,,,Roam,1.15114423
D4_1_8,29.26,12.87,258.01,8.38,129.0,,,,,,Roam,1.87561201
D4_1_9,32.34,11.98,284.22,8.17,129.6,,,,,,Roam,1.17644645
D4_1_10,29.26,10.4,270.99,8.32,135.7,,,,,,Roam,2.21556408
D4_1_12,30.8,9.22,264.63,8.34,127.0,,,,,,Roam,1.08396668
D4_1_13,41.58,10.21,284.33,8.32,134.5,,,,,,Roam,1.58027404
D4_1_14,41.58,12.77,264.09,8.44,123.1,,,,,,Roam,0.91136081
D4_1_15,53.9,15.83,299.45,8.34,149.3,,,,,,Roam,0.78265525
D5_1_1,56.98,7.05,192.91,8.15,137.6,,,,,,Roam,8.19560365
D5_1_2,66.22,5.07,182.04,8.22,140.6,,,,,,Roam,3.0191563
D5_1_3,66.22,15.24,199.58,8.12,161.5,,,,,,Roam,4.93434492
D5_1_4,63.14,8.33,223.86,7.81,148.5,,,,,,Roam,4.15276071
D5_1_5,75.46,11.39,243.71,8.2,153.1,,,,,,Roam,4.0119959
D5_1_6,73.92,4.28,263.52,8.28,150.4,,,,,,Roam,4.3347593
D5_1_7,78.54,7.84,227.6,8.28,142.9,,,,,,Roam,4.52488857
D5_1_8,63.14,4.09,270.72,8.07,141.3,,,,,,Roam,5.5733946
D5_1_9,86.24,5.07,270.23,8.05,151.5,,,,,,Roam,3.71103333
D5_1_10,70.84,10.9,274.42,8.18,173.1,,,,,,Roam,3.16642247
D5_1_11,97.02,18.69,349.42,8.16,178.0,,,,,,Roam,1.07784389
D5_1_12,133.98,11.19,306.4,8.09,225.2,,,,,,Roam,2.28595972
D5_1_14,86.24,14.15,276.66,8.15,128.4,,,,,,Roam,1.55952839
D5_1_15,86.24,13.66,296.5,8.16,180.6,,,,,,Roam,6.69047406
D5_2_1,47.74,5.17,271.62,8.35,153.3,,,,,,Roam,2.74705745
D5_2_2,27.72,3.4,219.88,8.52,127.1,,,,,,Roam,9.9239627
D5_2_3,41.58,18.1,364.64,8.19,198.1,,,,,,Roam,6.81500013
D5_2_4,23.1,5.27,236.27,8.37,139.7,,,,,,Roam,5.27706666
D5_2_5,50.82,4.58,234.21,8.38,146.4,,,,,,Roam,4.01323753
D5_2_6,36.96,5.86,193.73,8.16,130.3,,,,,,Roam,7.81164254
D5_2_8,44.66,4.58,243.69,8.52,154.3,,,,,,Roam,3.25343155
D5_2_9,42.35,3.49,232.36,8.52,126.0,,,,,,Roam,7.53742623
D5_2_10,49.28,5.27,204.31,8.48,137.8,,,,,,Roam,3.86161792
D5_2_11,38.5,5.86,201.76,8.58,124.4,,,,,,Roam,8.07512872
D5_2_12,30.8,6.26,240.34,8.42,145.2,,,,,,Roam,9.41963296
D5_2_14,41.58,3.2,226.93,8.09,117.3,,,,,,Roam,5.73565318
D5_2_15,41.58,6.95,277.84,8.49,150.0,,,,,,Roam,11.4314107
D6_1_1,55.44,35.08,274.02,8.23,171.7,,,,,,Roam,6.70535024
D6_1_2,52.36,18.79,365.9,8.28,158.7,,,,,,Roam,3.06641411
D6_1_3,41.58,20.86,271.99,8.25,152.8,,,,,,Roam,3.25015117
D6_1_4,92.4,23.04,375.91,8.27,179.7,,,,,,Roam,3.41579536
D6_1_5,47.74,21.16,122.09,7.87,144.9,,,,,,Roam,1.62641927
D6_1_6,44.66,20.86,312.71,8.0,175.0,,,,,,Roam,7.1263649
D6_1_7,29.26,24.02,288.51,8.17,94.5,,,,,,Roam,2.07730225
D6_1_8,39.27,32.91,215.61,8.28,173.9,,,,,,Roam,3.01600937
D6_1_9,47.74,24.81,565.66,8.23,150.6,,,,,,Roam,8.52748965
D6_1_10,86.24,39.91,449.65,8.16,210.7,,,,,,Roam,3.07703019
D6_1_11,61.6,20.67,326.31,8.26,152.4,,,,,,Roam,1.71295371
D6_1_12,29.26,27.08,196.11,8.27,143.5,,,,,,Roam,2.47528879
D6_1_13,35.42,23.83,439.71,8.39,142.8,,,,,,Roam,3.89301585
D6_1_14,23.1,31.43,273.2,8.25,157.9,,,,,,Roam,1.62482696
D6_1_15,50.82,20.47,162.11,8.33,134.2,,,,,,Roam,3.45660386
E1_1_1,36.96,11.69,370.61,8.51,131.3,,,,,,Clay,1.07059443
E1_1_3,49.28,24.52,323.99,8.4,140.5,,,,,,Clay,5.86022787
E1_1_4,56.98,30.44,335.11,8.47,137.7,,,,,,Clay,5.03214112
E1_1_5,60.06,29.45,303.62,8.34,135.9,,,,,,Clay,2.30807107
E1_1_6,27.72,23.23,330.19,8.33,136.1,,,,,,Clay,2.02384006
E1_1_7,30.8,33.89,411.9,8.4,135.4,,,,,,Clay,10.2252121
E1_1_8,38.5,38.43,334.99,8.39,132.7,,,,,,Clay,3.69559448
E1_1_9,55.44,34.88,391.82,8.36,136.4,,,,,,Clay,3.13585735
E1_1_10,73.92,34.68,368.48,8.4,143.5,,,,,,Clay,1.68870064
E1_1_11,66.22,28.37,329.18,8.36,126.0,,,,,,Clay,2.03966979
E1_1_12,32.34,26.49,327.86,8.34,142.0,,,,,,Clay,2.79884659
E1_1_14,12.32,25.01,331.96,8.4,140.3,,,,,,Clay,11.424152
E1_1_15,43.12,20.77,332.18,8.37,144.5,,,,,,Clay,4.74767186
E1_2_1,38.5,9.51,226.3,8.01,173.1,,,,,,Roam,1.15542421
E1_2_2,38.5,9.71,185.96,8.11,142.9,,,,,,Roam,0.86616983
E1_2_3,32.34,16.62,134.68,8.33,154.1,,,,,,Roam,1.39809808
E1_2_4,52.36,11.98,174.86,8.17,163.9,,,,,,Roam,8.20584125
E1_2_5,27.72,9.51,165.02,8.28,125.5,,,,,,Roam,1.10455522
E1_2_6,58.52,10.01,198.15,8.18,188.6,,,,,,Roam,1.14393954
E1_2_7,53.9,13.66,169.56,8.23,144.0,,,,,,Roam,1.69337159
E1_2_8,35.42,6.95,162.83,8.26,148.2,,,,,,Roam,5.73956907
E1_2_9,26.18,6.75,175.07,8.32,144.0,,,,,,Roam,2.84290919
E1_2_10,33.88,14.05,146.38,8.26,157.3,,,,,,Roam,2.38185324
E1_2_11,56.98,7.54,167.49,8.25,168.6,,,,,,Roam,1.70061617
