SampleN,V_S,Na_S,Co_S,SumTS
D2_2_15,23.63403278,606.0080534,6.564277926,1.69486375
D2_3_1,30.9352934,520.221252,8.222610334,2.08147617
D2_3_2,31.09066042,470.07921509999994,8.053505574,1.07558705
D2_3_3,32.67933881,498.2092566,8.544204307,1.55189725
D2_3_5,34.29447475,516.8313575,8.960965667,1.32805053
D2_3_6,30.34558101,447.2269691,8.001360285,2.54088759
D2_3_7,30.29210624,558.7911326999999,7.947059683,2.06873179
D2_3_8,33.31541904,608.3386209,8.714061392,3.15215381
D2_3_9,33.25547694,494.6400558,8.815682826,3.14769871
D2_3_10,32.10865412,452.3472813,8.350743517,2.69951074
D2_3_11,32.90984999,577.3942903,8.550139904,2.09414755
D2_3_12,33.45788903,715.5237075,8.677485468,2.58460343
D2_3_13,30.41552514,556.1060501,7.96513934,3.27699339
D2_3_14,31.77710827,489.4771315,8.3341334,1.6355821
D2_3_15,32.47074719,561.1205947000001,8.556547341,5.45810878
D3_1_1,52.5405,395.296,9.1755,1.43685992
D3_1_2,45.8235,291.908,8.021,1.62929226
D3_1_3,53.4125,368.9755,10.0035,2.91605212
D3_1_4,49.9325,307.9395,9.795,5.30445715
D3_1_5,54.23,369.452,9.9425,2.585736
D3_1_6,51.969,337.7605,9.7735,1.54121891
D3_1_7,50.314,314.808,9.2955,1.82880064
D3_1_8,54.862,354.4315,10.2585,2.99636237
D3_1_10,41.972,249.467,7.8315,2.28637726
D3_1_11,58.0345,398.7625,10.299,1.3300767
D3_1_12,123.548,557.806,21.7655,1.56524699
D3_1_13,51.3675,442.808,9.4165,1.17542882
D3_1_14,52.788,344.1295,10.081,2.61787657
D3_1_15,66.604,496.364,10.603,2.85551429
D4_1_1,69.984,436.182,12.72,2.75678141
D4_1_2,69.129,428.942,12.633,1.33712878
D4_1_3,69.319,400.363,13.334,0.98381214
D4_1_5,65.8235,426.297,11.9555,0.90687228
D4_1_6,83.295,605.9365,13.2945,1.35801261
D4_1_7,77.499,536.823,12.445,1.15114423
D4_1_8,76.256,532.42,12.7405,1.87561201
D4_1_9,63.605,365.594,12.4865,1.17644645
D4_1_10,62.543,383.823,11.8595,2.21556408
D4_1_12,78.8855,507.4675,13.2825,1.08396668
D4_1_13,65.048,436.997,11.495,1.58027404
D4_1_14,72.593,461.906,12.854,0.91136081
D4_1_15,79.021,522.9695,13.428,0.78265525
D5_1_1,45.0275,168.2705,11.261,8.19560365
D5_1_2,60.744,271.6635,11.72,3.0191563
D5_1_3,66.256,305.4705,11.6965,4.93434492
D5_1_4,43.669,149.49,10.956,4.15276071
D5_1_5,48.7975,195.8175,11.6455,4.0119959
D5_1_6,67.5195,332.597,12.4885,4.3347593
D5_1_7,49.305,188.1575,12.047,4.52488857
D5_1_8,51.405,189.6865,12.0495,5.5733946
D5_1_9,51.723,198.0815,13.09,3.71103333
D5_1_10,54.612,203.5465,12.9295,3.16642247
D5_1_11,52.7665,194.995,12.571,1.07784389
D5_1_12,57.624,217.205,14.1585,2.28595972
D5_1_14,53.3975,216.9835,12.713,1.55952839
D5_1_15,40.237,143.415,11.3665,6.69047406
D5_2_1,64.876,345.8685,12.068,2.74705745
D5_2_2,62.9485,328.4045,11.5275,9.9239627
D5_2_3,67.692,332.959,14.6555,6.81500013
D5_2_4,59.365,297.927,11.463,5.27706666
D5_2_5,63.3115,361.7815,11.104,4.01323753
D5_2_6,52.2845,279.289,9.96,7.81164254
D5_2_8,64.555,362.276,11.167,3.25343155
D5_2_9,65.0825,361.5525,11.756,7.53742623
D5_2_10,61.0355,315.832,11.311,3.86161792
