SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A3_2_1,300.0677383,38.10442167,23563.498,52.54585095,6968.695464,4651.397348,11295.22119,0.376236996,8.85572304
A3_2_2,282.6237451,31.77738788,22658.2333,48.29207362,6358.871839,4472.465377,8289.841174,0.578696175,8.40736587
A3_2_5,314.8061577,36.13599153,22875.9357,57.45311918,6288.103454,4734.057774,10052.22574,0.362328547,6.36538686
A3_2_6,251.5056267,29.72354869,19936.45165,45.1552714,5081.39994,3981.102296,6967.721301,0.341014642,15.540286
A3_2_7,344.1713848,31.89420776,26642.58826,52.90196196,6657.717655,4624.170015,7696.606851,0.421998075,7.56958564
A3_2_8,279.4867052,34.31442343,22177.00573,52.95502646,5718.636089,4231.457616,8393.444891,0.369531454,6.36115135
A3_2_9,292.3083563,28.96535932,20768.90796,47.61362894,5342.283335,3987.783084,7583.17909,0.372086332,13.2495414
A3_2_10,340.2125758,38.47789799,27249.79045,58.7666801,7116.88629,5622.662606,9045.955439,0.428365115,4.33328152
A3_2_11,314.5791008,35.7874535,27673.21752,51.58439046,6552.547443,4439.634209,8546.587476,0.398179455,6.56621801
A3_2_12,346.7246551,34.98557575,28567.17204,54.13570087,7234.623737,5321.117247,9261.62966,0.77046252,3.69677213
A3_2_13,315.1240778,31.42116043,20959.16613,49.80924202,5816.019009,4048.649705,9140.450712,0.58703002,6.30232157
A3_2_14,257.778789,29.53765705,18218.9203,44.51986846,4794.235792,3606.986152,7771.061544,0.441464908,11.414092
A3_2_15,281.5505527,39.10125219,21672.55481,50.41731595,5652.0567,4470.40214,9702.583914,0.452924264,5.29310059
A3_3_2,298.0906209,33.12836917,28574.17696,56.46243462,8123.03522,4798.888422,6951.783595,0.45890659,4.09674206
A3_3_5,233.24109,12.43957992,18226.52011,39.33668808,5985.310931,3449.790336,3444.603984,0.284418478,5.2714414
A3_3_6,146.202955,9.853548676,12208.5818,34.57951255,3841.360263,2098.802539,2357.700428,0.204092776,3.88028085
