SampleN,Ga_S,Rb_S,Li_S,Sr_S,Ba_S,Be_S,Cs_S,Ni_S,Sc_S,Ge_S,Hf_S,Nb_S,Ti_S,Zr_S,SumTS
A2_3_11,15.37339222,119.1186337,36.97397152,23.68202864,125.508866,1.47547342,8.07831452,20.53880619,7.077313975,2.515043684,0.047771254,9.304157882,2033.495837,2.040291254,2.69239932
A2_3_12,15.74381499,109.3701762,35.82796636,21.08333714,111.9893268,1.359318031,7.614490147,20.6938328,6.65001307,2.507604073,0.038630692,8.363152426,1904.15134,1.167548575,18.4061108
A2_3_13,16.31840294,104.8488887,34.84267566,23.74062196,133.9929556,1.748455471,7.661887824,20.73072825,6.896516162,2.567918137,0.064527725,10.00287571,2096.977586,2.672926055,10.8818458
A2_3_14,14.74740726,101.2305637,30.49478563,20.15210823,101.9863496,1.471875487,7.436730079,18.38075289,5.995625129,2.201376763,0.027281628,7.164004768,1725.774062,0.968320313,10.2193982
A2_3_15,16.05626339,107.487556,32.68042967,28.35942431,119.0210357,1.714281988,8.401023388,22.35806074,7.139145312,2.446128963,0.025563081,7.382723295,1947.445289,0.791731136,9.22936651
A3_1_4,2.756693772,19.74009031,8.304873345,12.19116901,146.7371393,0.422548477,2.135006407,11.4211373,0.976419973,1.192016398,0.037862413,0.620771338,389.8399182,0.976641496,4.49855648
A3_1_5,7.874956606,51.20985927,21.1978781,44.25415401,400.8936416,0.853955849,5.595317269,24.98193749,3.812426607,2.605519717,0.043953582,1.588115104,1202.45895,1.731303214,8.62403927
A3_1_6,5.958944522,40.1333904,16.14483604,29.2669373,271.1619877,0.573809965,4.444293918,18.7205409,2.829111554,1.790447804,0.031702057,1.264258495,944.0408992,1.319935455,8.43381684
A3_1_7,8.806512223,58.62372468,22.75898964,44.28405186,387.7197585,0.963717132,6.364167264,26.57670747,3.915084403,2.559885433,0.044875983,1.864823228,1421.460221,1.993073471,3.91028568
A3_1_8,9.052048781,63.47942601,23.8648206,48.48429565,396.1368013,1.017245681,6.558298919,27.74886551,4.004475934,2.571396569,0.051554805,2.064619971,1464.27304,1.996799437,5.5455326
A3_1_9,7.494625942,52.2263373,19.99252487,38.29488724,354.2364724,0.761114992,5.385816192,24.09244645,3.361970359,2.090935452,0.048273861,1.745765338,1201.269206,2.012571365,6.64494442
A3_1_10,6.492776041,42.70692041,17.95704855,34.17482067,314.5460646,0.760413559,4.682756784,21.71822901,3.117421688,1.758843821,0.063300559,1.63002313,1013.627382,2.31544599,7.51144827
A3_1_11,6.706235,55.05759195,18.4660698,46.25166802,307.5599176,0.812864056,7.13539898,24.30604311,2.985195611,1.716727907,0.038247153,1.363740538,1193.476654,1.217484937,14.0538438
A3_1_12,7.724981228,49.74662502,20.67219721,41.24654531,363.3855571,0.741306087,5.299317795,23.62873457,3.59936716,1.907380138,0.029273609,1.51692444,1180.058857,1.339477122,6.71343546
A3_1_13,8.09676667,45.88716024,21.78960204,38.99672512,438.4875611,0.875374221,5.272598071,24.59924955,4.204054808,1.933475487,0.039255703,1.410179422,1132.124286,1.67838261,6.25402875
A3_1_14,7.710473032,45.36965077,21.10461312,41.50567242,431.7845996,0.907816573,5.076149774,23.4155527,3.990365925,1.767202229,0.052590957,1.533850826,1112.580271,2.354076511,8.02713565
A3_1_15,8.394703906,45.26619265,23.47419485,40.48850971,494.8580787,1.009553704,5.331323813,25.45823473,4.567483949,1.97776104,0.054825763,1.549547681,1142.433493,2.277820412,7.05582551
A3_2_1,7.965795734,51.24556583,19.93470926,34.0330204,101.6824019,0.699175541,3.264126335,20.02791983,2.724235824,1.743555788,0.066206624,2.246168872,1232.253249,2.537764133,8.85572304
A3_2_2,7.593082627,52.04892687,18.49234063,27.76960062,87.97234458,0.713137827,3.130239751,16.61301773,2.625543976,1.665381932,0.145171123,2.919670904,1167.034981,2.186961224,8.40736587
A3_2_5,7.534351247,49.92418858,18.20638224,31.93035394,87.66163176,0.593413529,2.920929811,15.17736273,2.464789662,1.521810018,0.048723144,1.964932872,1072.208678,1.755175247,6.36538686
A3_2_6,6.529317482,39.6011161,14.94229092,25.35686699,79.60883208,0.558826583,2.496751182,14.03272373,2.300700662,1.295943694,0.060149031,1.827120678,934.2202144,1.934914761,15.540286
A3_2_7,8.370654615,44.92122716,20.05316623,28.22274614,102.5070929,0.877823974,3.302619491,18.81431774,3.274617769,1.54938816,0.057549617,1.914936483,1117.679544,2.263341956,7.56958564
A3_2_8,7.1395783,41.59343954,17.1683127,26.27491686,89.06241756,0.665792306,2.934787525,16.72066505,2.726617822,1.267174975,0.046015266,1.644247534,957.1354621,1.803429397,6.36115135
A3_2_9,6.494717049,37.54986725,15.86625562,26.53144489,83.20340077,0.685200473,2.842895173,15.86339451,2.603930454,1.177551877,0.037853164,1.58967388,884.8423959,1.294952998,13.2495414
A3_2_10,8.380343407,45.77475376,19.99921934,29.49917903,104.3265925,0.931721281,3.566220476,21.48538788,3.476109206,1.553886824,0.055613877,2.216768817,1206.411283,2.037181185,4.33328152
