SampleN,Y_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Th_S,SumTS
Z1_2_13,9.29698227,18.60315927,37.19747373,4.369267537,16.45540257,3.215567785,0.62068123,3.019856095,0.38650203,1.993305823,0.356526344,0.943602417,0.751975915,5.30073035,2.41929069
Z1_2_14,10.05112021,19.06702295,38.49591402,4.545294036,17.05753268,3.337993254,0.675889478,3.17627167,0.41107473,2.155953505,0.389964372,1.026755168,0.821473673,5.751915936,3.22872605
Z1_2_15,9.846279715,18.95205861,38.91577234,4.593730346,17.276845,3.468497902,0.692683205,3.177881042,0.437762013,2.178787675,0.40297947,1.034726206,0.849125064,6.064156702,4.90295357
Z1_3_1,8.185472429,17.05251582,34.18227921,4.077187012,15.12554448,2.911697744,0.571885425,2.723621343,0.348388742,1.777767937,0.314094101,0.817977985,0.67179845,6.106966464,3.4702404
Z1_3_2,9.342029131,20.27782409,40.57047245,4.813325886,18.10947575,3.519466157,0.671788365,3.184554056,0.413068001,2.055439285,0.360398688,0.968945443,0.760283936,7.41289809,4.13733194
Z1_3_3,8.178669591,17.3726513,34.84152602,4.122809637,15.58987574,3.050134339,0.589018218,2.805232882,0.355720708,1.831351116,0.323944385,0.86423122,0.6943752,6.197673268,1.26805424
Z1_3_4,8.885901061,18.20140443,36.73814888,4.391303606,16.47347628,3.250729619,0.639751239,2.974981347,0.38189302,1.965716465,0.34757818,0.90850021,0.745214319,6.305841926,1.7833545
Z1_3_5,8.48666443,17.39477511,35.37533042,4.154943851,15.59274212,3.048403903,0.597431516,2.817244925,0.35895403,1.846784081,0.325667015,0.870219251,0.714814064,5.707473519,2.24106387
Z1_3_6,9.687148251,19.42721275,39.89855373,4.701326815,17.56873993,3.486238778,0.678238137,3.190070328,0.415289461,2.109810343,0.374644957,0.981032436,0.804447612,6.877580686,1.73955472
Z1_3_7,9.967862289,19.96247455,40.21150057,4.746233116,17.88147972,3.494764148,0.685835495,3.229841996,0.42271805,2.220084647,0.384657331,1.011577721,0.846547331,6.956999713,1.31875441
Z1_3_8,8.564019182,16.99343199,34.7510274,4.07045483,15.3721657,3.044356089,0.588183092,2.800716519,0.360381836,1.858150778,0.328546733,0.889189239,0.718106055,6.693262187,9.19573539
Z1_3_9,9.602847042,18.90136943,39.06079143,4.488245671,16.79349261,3.344575245,0.661378662,3.132476776,0.403740728,2.079849364,0.368449438,0.969711314,0.804780231,6.74891021,3.23435605
Z1_3_10,9.425117344,18.76484298,38.52017877,4.499933646,16.75191459,3.366101278,0.634202766,3.084511461,0.406643749,2.07289159,0.369245325,0.982871048,0.812089763,6.826224747,4.99914053
Z1_3_11,7.302012979,14.70349769,29.97810996,3.501924855,13.18898603,2.61178024,0.507295717,2.43121928,0.306327699,1.589090623,0.278110532,0.738479351,0.585873581,5.159881143,4.34578113
Z1_3_12,10.85853879,21.45251797,43.57716701,5.11591581,19.17272549,3.778617763,0.74376564,3.54641631,0.464093552,2.343867164,0.421652773,1.108019306,0.893510365,7.43066522,1.33003317
Z1_3_13,11.8327941,22.66180584,46.39147849,5.424537763,20.32563973,3.999291593,0.797185815,3.854608602,0.491413201,2.561796275,0.450589378,1.209374024,0.983376239,6.703142806,0.88871221
Z1_3_14,11.11263475,22.17992896,45.48549633,5.315254307,20.18538917,3.903809173,0.781980148,3.634955225,0.470185732,2.42437111,0.434968747,1.138778832,0.916847939,7.838999859,4.43006247
Z1_3_15,9.703544974,19.85846003,40.37593573,4.756305994,17.90213242,3.509211494,0.667541753,3.198500354,0.413017891,2.12110904,0.380556925,1.002796702,0.81108395,7.232973285,1.68499488
Z1_4_5,7.896102052,16.44642729,33.68028103,3.925146397,14.65958822,2.840447805,0.542530932,2.649432515,0.334693468,1.706618902,0.305101982,0.80215534,0.661280155,5.262899945,7.97781793
Z1_4_6,7.954786273,16.19735083,33.05837766,3.865137262,14.52278892,2.879604438,0.558489165,2.673108402,0.340548858,1.741417422,0.306749598,0.804709804,0.660124543,4.9817915,12.7339757
Z1_4_7,8.53786554,17.37691915,35.32370857,4.115041397,15.59621444,3.043500613,0.587938962,2.837324047,0.363387244,1.854286897,0.33003103,0.858675403,0.7021676,5.36959317,6.8835105
Z1_4_8,7.961669074,15.89570975,32.44458392,3.824308652,14.39768055,2.808453931,0.545090756,2.643384659,0.338878182,1.722506052,0.30910604,0.814359418,0.645327845,4.938406883,10.7015336
Z1_4_9,7.906839427,15.9474079,32.23792347,3.789507352,14.26873752,2.76041103,0.535404257,2.6089082,0.336546297,1.697274436,0.308106977,0.792812955,0.643305518,5.05409875,10.283748
Z1_4_10,8.683014269,17.94661,36.51286195,4.252582315,16.06700915,3.176818198,0.596321926,2.956016996,0.367265921,1.871849314,0.334016707,0.895602836,0.710863644,5.924589227,6.90396357
Z1_4_11,7.974031818,16.52240422,33.54089566,3.913042816,14.70907745,2.924687623,0.556846334,2.664890881,0.340798,1.740898341,0.304566406,0.814211076,0.642086981,4.965754528,7.26325114
Z1_4_12,7.635685694,15.59949357,31.8586698,3.734676214,14.05041117,2.750780623,0.527542516,2.582037865,0.331431747,1.671023508,0.297645219,0.798076122,0.638193557,5.007929702,10.0816608
Z1_4_13,7.504994615,15.11926136,31.05325696,3.666760748,13.69029327,2.707610049,0.510123559,2.491697212,0.32049053,1.646145601,0.296682042,0.783787936,0.629623731,4.951695976,8.33662316
Z1_4_14,8.848726906,18.27411619,37.27828875,4.36854717,16.42692378,3.242503219,0.609908209,2.986733633,0.378996544,1.942172715,0.352593047,0.920713054,0.736585682,5.604531894,6.40584489
Z1_4_15,7.829000891,16.2756718,32.81251865,3.842910066,14.2866303,2.806461915,0.543591865,2.603489996,0.338711559,1.705672081,0.301503846,0.788684666,0.645391836,5.231573325,5.79162483
Z2_1_1,15.8565,30.431,61.79,7.066,26.117,4.905,0.7735,3.8495,0.4345,2.6335,0.4775,1.2525,0.996,8.142,2.64029263
Z2_1_2,14.929,31.009,62.3755,7.1305,26.3915,4.9775,0.7875,3.931,0.449,2.7105,0.4875,1.2815,1.0165,8.7025,2.55695422
Z2_1_3,16.9545,33.7435,69.0155,7.7915,28.765,5.426,0.8985,4.272,0.4945,2.9835,0.5395,1.439,1.1455,9.501,7.277125
Z2_1_4,15.67,31.2975,63.5585,7.2305,26.702,4.971,0.8155,3.955,0.4595,2.828,0.515,1.3685,1.093,9.291,2.3879476
Z2_1_5,16.875,34.67,70.9315,7.949,29.261,5.4955,0.8895,4.3205,0.502,3.028,0.5425,1.4555,1.153,9.6425,4.49168083
Z2_1_6,15.723,31.923,65.284,7.413,27.4085,5.1355,0.834,4.054,0.4645,2.8125,0.5095,1.345,1.0635,8.9355,9.31398302
Z2_1_7,15.523,31.8085,63.7425,7.2585,26.891,5.065,0.8155,4.018,0.4615,2.789,0.5035,1.337,1.0635,9.164,3.77270793
Z2_1_8,14.0935,29.2115,59.0695,6.748,25.144,4.7215,0.766,3.765,0.429,2.622,0.4705,1.2445,0.9795,8.464,3.92452716
Z2_1_9,14.711,30.101,61.159,6.9815,25.9145,4.8655,0.782,3.8275,0.4395,2.6875,0.483,1.2765,1.014,8.6895,6.69884866
Z2_1_11,16.3545,33.2155,71.999,7.619,28.3665,5.3615,0.863,4.2365,0.4865,2.9405,0.527,1.393,1.1025,9.362,4.87256559
Z2_1_12,15.8055,32.212,65.538,7.432,27.5235,5.212,0.836,4.109,0.4715,2.8595,0.5135,1.3505,1.076,9.1625,6.05389804
Z2_1_13,15.186,29.7575,61.6935,6.922,25.4855,4.7865,0.7615,3.781,0.4245,2.584,0.4645,1.2255,0.971,7.9585,6.48388236
Z2_1_14,17.0835,34.1525,71.1855,7.8645,29.056,5.416,0.896,4.3155,0.501,3.0265,0.543,1.4545,1.1425,9.6125,2.56001131
Z2_1_15,16.455,31.1945,63.99,7.211,26.5805,5.005,0.8175,3.9575,0.4535,2.7505,0.4895,1.3,1.0225,8.653,2.40498741
Z2_2_1,15.7405,31.719,65.6845,7.3135,27.2835,5.172,0.85,4.145,0.477,2.872,0.517,1.3585,1.077,9.1325,5.63495169
Z2_2_2,17.2215,33.5675,69.3505,7.818,29.034,5.4345,0.8985,4.3295,0.5025,3.03,0.543,1.4515,1.1625,9.608,1.76170416
Z2_2_3,16.7355,33.3515,67.7015,7.645,28.388,5.3445,0.8865,4.2455,0.493,3.0005,0.5425,1.441,1.133,9.811,4.56397242
Z2_2_4,15.2705,31.4415,64.317,7.243,27.031,5.129,0.8395,4.117,0.4775,2.8815,0.517,1.369,1.083,9.515,6.43509256
Z2_2_5,16.163,32.77,67.4915,7.5945,28.052,5.343,0.8635,4.2335,0.486,2.9185,0.526,1.377,1.0895,9.5555,1.85754761
Z2_2_6,13.8655,28.521,58.407,6.625,24.83,4.663,0.766,3.756,0.432,2.6665,0.4785,1.253,0.9915,7.726,3.58190384
Z2_2_7,14.2895,29.487,59.575,6.815,25.466,4.798,0.758,3.828,0.434,2.651,0.474,1.2515,0.987,8.7015,0.9807831
Z2_2_8,15.9925,33.934,69.623,7.9225,29.671,5.5205,0.8675,4.2995,0.491,2.9405,0.5255,1.384,1.089,9.892,3.61625811
Z2_2_9,15.1105,31.417,63.345,7.2025,26.745,5.0165,0.8125,3.928,0.4545,2.7845,0.507,1.3285,1.065,8.984,2.33399683
Z2_2_10,14.7145,30.101,61.3315,6.9905,26.032,4.923,0.8045,3.933,0.4485,2.7385,0.4955,1.2925,1.0225,8.693,4.79724562
