SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
A5_1_1,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_2,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_3,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_4,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_5,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_6,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_7,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_8,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_9,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_10,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_11,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_12,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_13,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_14,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_15,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_16,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_13d,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_14d,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_2_1,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_2,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_3,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_4,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_5,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_6,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_7,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_8,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_9,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_10,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_11,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_12,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_13,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_14,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_15,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_2_16,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053
A5_3_4,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_5,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_6,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_7,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_8,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_9,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_10,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_11,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_12,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_13,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_14,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
A5_3_15,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023
B3_1_6,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_7,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_8,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_9,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_10,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_11,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_12,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_13,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_1_14,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924
B3_2_5,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_6,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_7,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_8,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_9,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_10,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_11,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_13,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_14,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
B3_2_15,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061
