SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,SumTS
A2_3_14,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,10.2193982
A2_3_15,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076,9.22936651
A3_1_4,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,4.49855648
A3_1_5,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,8.62403927
A3_1_6,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,8.43381684
A3_1_7,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,3.91028568
A3_1_8,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,5.5455326
A3_1_9,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,6.64494442
A3_1_10,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,7.51144827
A3_1_11,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,14.0538438
A3_1_12,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,6.71343546
A3_1_13,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,6.25402875
A3_1_14,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,8.02713565
A3_1_15,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031,7.05582551
A3_2_1,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,8.85572304
A3_2_2,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,8.40736587
A3_2_5,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,6.36538686
A3_2_6,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,15.540286
A3_2_7,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,7.56958564
A3_2_8,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,6.36115135
A3_2_9,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,13.2495414
A3_2_10,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,4.33328152
A3_2_11,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,6.56621801
A3_2_12,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,3.69677213
A3_2_13,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,6.30232157
A3_2_14,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,11.414092
A3_2_15,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954,5.29310059
A3_3_2,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,4.09674206
A3_3_5,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,5.2714414
A3_3_6,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,3.88028085
A3_3_7,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,8.55818376
A3_3_8,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,6.45109927
A3_3_9,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,3.58956517
A3_3_10,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,5.98206333
A3_3_11,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,4.50307087
A3_3_12,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,3.80522044
A3_3_13,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,8.43595922
A3_3_14,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,4.24431618
A3_3_15,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931,7.47977887
A5_1_1,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,9.07404803
A5_1_2,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,13.1951828
A5_1_3,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,11.8516862
A5_1_4,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,12.131657
A5_1_5,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,18.7645276
A5_1_6,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,21.4486654
A5_1_7,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,14.898623
A5_1_8,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,17.1878259
A5_1_9,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,3.12917722
A5_1_10,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,6.82570885
A5_1_11,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,14.9494809
A5_1_12,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,12.3400376
A5_1_13,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,7.59879261
A5_1_14,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,8.89757047
A5_1_15,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,9.26392582
A5_1_16,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,14.9150658
A5_1_13d,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,8.56641583
A5_1_14d,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977,11.5411993
A5_2_1,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,11.5534482
A5_2_2,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,14.0181308
A5_2_3,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,14.3742917
A5_2_4,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,13.7902942
A5_2_5,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,13.8006457
A5_2_6,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,15.9131394
A5_2_7,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,9.52888762
A5_2_8,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,12.3230494
A5_2_9,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,10.2371666
A5_2_10,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,10.5598095
A5_2_11,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,2.64643363
A5_2_12,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,12.8053526
A5_2_13,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,9.17975548
A5_2_14,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,15.323941
A5_2_15,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,14.6181507
A5_2_16,0.38489002,5056.799805,3569.699951,851.7000122,0.48883599,-1.100000024,26.79999924,41.09999847,-18.44000053,11.4306093
A5_3_4,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,13.1229181
A5_3_5,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,5.89808975
A5_3_6,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,8.17340101
A5_3_7,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,11.2357642
A5_3_8,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,6.71893528
A5_3_9,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,14.8336788
