SampleN,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilTypenum,AN_x,AP_x,AK_x
F1_4_5,8.03,143.4,4.01,13.53,17.54,1832.7386,8.774499816,0,284.9308,15.36067667,172.1
F1_4_6,7.96,161.0,6.83,6.81,13.64,1879.493,16.71033203,0,326.2644,15.79115695,261.45
F1_4_7,7.05,148.1,10.34,8.86,19.2,1976.7286,20.22031623,0,326.2644,17.54805775,159.8
F1_4_8,8.02,151.2,5.28,18.29,23.57,2018.9092,22.96283641,0,324.5704,21.46994208,197.2
F1_4_9,7.92,140.8,8.52,11.3,19.82,1988.5866,22.85575236,0,326.2644,18.85249172,169.65
F1_4_10,8.01,262.0,7.58,6.89,14.47,1853.5748,22.78199421,0,272.9034,18.36693951,157.15
F1_4_11,8.03,155.2,8.53,8.92,17.45,1824.2686,13.73628257,0,324.5704,18.38088388,200.05
F1_4_12,7.99,199.4,5.91,8.18,14.09,1925.9086,18.73322228,0,274.5974,16.99048533,173.85
F1_4_13,8.03,141.4,9.04,7.85,16.89,1871.7006,21.73737738,0,271.2094,17.57539445,150.65
F1_4_14,7.97,152.6,4.1,8.15,12.25,1857.1322,21.4183144,0,274.5974,17.67454865,178.1
F1_4_15,8.02,161.5,10.12,7.85,17.97,1983.5046,16.50564474,0,326.2644,19.07710747,161.25
F1_5_5,8.23,143.7,6.11,5.22,11.33,940.0006,8.471472558,0,217.8484,7.594228386,143.65
F1_5_6,8.24,132.7,4.71,4.85,9.56,743.4966,14.61125295,0,94.864,6.882930333,154.45
F1_5_7,8.11,152.2,5.45,5.07,10.52,801.6008,10.84687596,0,199.892,6.480558325,143.4
F1_5_8,8.17,134.0,1.86,4.38,6.24,745.1906,6.887348405,0,186.34,5.787730012,133.35
F1_5_9,8.17,184.3,2.26,9.33,11.59,791.4368,7.883318778,0,217.8484,8.096761295,111.25
F1_5_10,8.05,144.7,7.32,4.73,12.05,729.9446,6.492218611,0,121.968,7.385229541,149.6
F1_5_11,8.21,139.4,4.02,4.39,8.41,896.2954,6.125047528,0,267.652,6.090498822,152.05
F1_5_12,8.19,136.0,2.78,16.42,19.2,1968.2586,8.266350641,0,313.39,17.36249701,158.6
F1_5_13,8.2,140.0,0.5,3.07,3.57,734.5184,22.76870287,0,267.652,5.893634874,116.95
F1_5_14,8.16,137.2,11.29,17.38,28.67,848.5246,5.896817694,0,121.968,7.696921232,160.65
F1_5_15,8.19,88.5,0.4,3.45,3.85,720.797,7.237378694,0,269.346,5.687033563,134.8
F4_1_5,6.87,66.6,8.54,3.16,11.7,1245.937,15.92741216,1,272.9034,7.692307692,128.05
F4_1_6,6.8,99.2,9.4,12.89,22.29,1375.3586,14.47410363,1,249.018,5.38986705,274.0
F4_1_7,6.46,79.4,11.05,9.88,20.93,1457.687,19.11743499,1,271.2094,7.776980139,220.8
F4_1_8,6.21,69.3,9.0,12.7,21.7,1302.5166,16.87132349,1,186.34,5.0,159.1
F4_1_9,6.41,66.7,7.89,4.46,12.35,1257.9644,14.97209862,1,272.9034,6.49740104,121.1
F4_1_10,6.34,92.4,5.01,10.51,15.52,1277.1066,13.31495033,1,254.1,4.8,143.3
F4_1_11,6.33,64.3,11.18,5.23,16.41,1123.6302,12.33440205,1,322.8764,6.5828845,118.45
F4_1_12,6.4,93.3,3.06,21.45,24.51,863.7706,11.64217957,1,242.242,3.095171532,126.6
F4_1_13,6.38,64.4,9.23,3.31,12.54,1566.103,10.14804311,1,326.2644,4.793863854,241.9
F4_1_14,6.41,109.7,6.09,25.2,31.29,1353.3366,15.50284924,1,260.876,5.495383878,243.45
F4_1_15,6.46,84.8,8.6,7.45,16.05,1414.6594,15.09703668,1,269.346,10.08749151,242.05
F4_2_1,6.36,174.0,1.48,6.9,8.38,1322.8446,17.4558258,1,189.728,12.29115037,215.55
F4_2_5,7.38,188.3,5.91,32.48,38.39,1338.0906,19.61250094,1,179.564,9.182003274,234.8
F4_2_6,7.65,173.8,0.48,10.11,10.59,1243.2266,24.11098421,1,326.2644,7.389064185,198.1
F4_2_7,7.7,149.7,6.23,7.54,13.77,1365.1946,20.66194277,1,186.34,13.96480868,291.95
F4_2_8,7.85,167.4,5.05,8.72,13.77,1146.1604,28.4882313,1,303.226,5.887518461,194.5
F4_2_9,7.94,155.2,5.37,4.23,9.6,1233.0626,23.33354336,1,267.652,28.0427927,260.15
F4_2_10,7.96,155.2,6.79,9.89,16.68,1204.6034,19.15109821,1,249.018,7.778841551,200.85
F4_2_11,8.03,183.6,6.93,86.14,93.07,1139.8926,14.31569412,1,271.2094,11.97174668,222.3
F4_2_12,8.04,181.7,6.84,5.85,12.69,1164.9638,27.83384615,1,269.1766,7.583619382,228.7
F4_2_13,8.07,152.3,5.07,6.01,11.08,1244.9206,17.89541071,1,188.034,6.579734418,198.9
F4_2_14,8.04,136.3,7.86,10.6,18.46,1478.862,19.60148465,1,322.8764,17.67525464,247.25
F4_2_15,8.02,186.5,8.63,8.89,17.52,1280.4946,17.16101828,1,189.728,8.587976832,224.35
Z1_1_5,8.35,211.0,6.79,3.68,10.47,1609.1306,17.35702007,0,271.2094,4.884564775,630.35
Z1_1_6,8.37,248.0,5.93,4.68,10.61,2313.8346,12.49282317,0,259.182,4.386314698,708.75
Z1_1_7,8.42,150.3,9.08,4.41,13.49,2938.0736,31.26298605,0,150.766,6.593933581,275.65
Z1_1_9,8.53,138.5,4.58,3.26,7.84,1190.5432,16.56395299,0,267.652,4.090836526,344.4
Z1_1_11,8.4,240.0,7.35,6.43,13.78,1913.8812,13.68448,0,303.9036,2.698488846,653.3
Z1_1_12,8.48,155.2,7.17,5.37,12.54,1036.5586,28.65331065,0,187.5258,3.69792916,285.75
Z1_1_13,8.35,236.0,9.99,4.93,14.92,1913.8812,13.91681314,0,327.9584,3.192083633,605.05
Z1_1_14,8.46,149.0,5.66,3.84,9.5,1075.5206,21.90071425,0,245.63,4.387014437,249.55
Z1_1_15,8.43,150.3,3.83,5.18,9.01,1183.9366,12.97814335,0,271.2094,7.191657677,299.4
Z1_2_6,8.37,141.8,5.82,5.51,11.33,1197.4886,18.07746327,0,167.0284,3.89672675,260.45
